,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
3996,Lucky,"['One Hundred and One Dalmatians', ""101 Dalmatians II: Patch's London Adventure"", '101 Dalmatians (1996 film)']","['101 Dalmatians: The Series', 'House of Mouse']",,,,,3,2,0,0,0,0
3997,Lucky,['The Jungle Book 2'],,,,,,1,0,0,0,0,0
3998,Lucky Jack,['Home on the Range'],,,,,,1,0,0,0,0,0
3999,Luke (Halloweentown),"['Halloweentown (film)', ""Halloweentown II: Kalabar's Revenge""]",,,,,,2,0,0,0,0,0
4000,The Lynx,['The Incredible Journey'],,,,,,1,0,0,0,0,0
4001,Angus MacBadger,['The Adventures of Ichabod and Mr. Toad'],,"[""Mickey's Christmas Carol""]",,,"[""Mr. Toad's Wild Ride""]",1,0,1,1,0,0
4002,Ma Parker,,['Bonkers'],,,,,0,1,0,0,0,0
4003,Mack and Diesel,['Snow Dogs'],,,,,,1,0,0,0,0,0
4004,Jaren MacArthur,,['American Dragon: Jake Long'],,,,,0,1,0,0,0,0
4005,Mad Jacks,,['Big Hero 6: The Series'],,,,,0,1,0,0,0,0
4006,MacDuff,,"[""Chip 'n Dale Rescue Rangers""]",,,,,0,1,0,0,0,0
4007,Ma Pines,,['Gravity Falls'],,,,,0,1,0,0,0,0
4008,Macbeth,,['Gargoyles'],,,,,0,1,0,0,0,0
4009,Ham Mack,,['Andi Mack'],,,,,0,1,0,0,0,0
4010,Madame Goo Goo,,['A.N.T. Farm'],,,,,0,1,0,0,0,0
4011,Malcho,,['Aladdin (TV series)'],,,,,0,1,0,0,0,0
4012,Mama Hippo,['The Wild'],,,,,,1,0,0,0,0,0
4013,The Man in the Yellow Suit,['Tuck Everlasting'],,,,,,1,0,0,0,0,0
4014,Marguerite,['Beauty and the Beast (1991 film)'],,,,,,1,0,0,0,0,0
4015,Princess Marie,,['Adventures of the Gummi Bears'],,,,,0,1,0,0,0,0
4016,Grace Martin,['Make Mine Music'],,,,,,1,0,0,0,0,0
4017,Marva Kulp Sr,['The Parent Trap (1998 film)'],,,,,,1,0,0,0,0,0
4018,Maureen Parker,,['The Proud Family'],,,,,0,1,0,0,0,0
4019,Maya McStuffins,,['Doc McStuffins'],,,,,0,1,0,0,0,0
4020,Mayoi,,['Big Hero 6: The Series'],,,,,0,1,0,0,0,0
4021,Mr. McHenry,,['Kim Possible'],,,,,0,1,0,0,0,0
4022,Louise McKendrick,['The Parent Trap'],,,,,,1,0,0,0,0,0
4023,Bryan McKnight,,['W.I.T.C.H. (TV series)'],,,,,0,1,0,0,0,0
4024,Megasis,['Super Buddies'],,,,,,1,0,0,0,0,0
4025,Mel Clark,['Angels in the Outfield'],,,,,,1,0,0,0,0,0
4026,Merlin,"[""The Sorcerer's Apprentice (film)""]",,,,,,1,0,0,0,0,0
4027,Merriweather Adam Pleasure,,,,,,"['Pleasure Island (Downtown Disney)', 'Adventurers Club', 'Skipper Canteen', 'The Tropical Hideaway', ""Disney's Grand Floridian Resort & Spa""]",0,0,0,5,0,0
4028,Vas Mehta,,,,,,,0,0,0,0,0,0
4029,Midge,['The Story of Robin Hood and His Merrie Men'],,,,,,1,0,0,0,0,0
4030,Mike,,['Motorcity'],,,,,0,1,0,0,0,0
4031,Miriam Cho,,['Big City Greens'],,,,,0,1,0,0,0,0
4032,Miss Dewygood,,"[""Teacher's Pet""]",,,,,0,1,0,0,0,0
4033,Ms. Pennypacker,,['Goof Troop'],,,,,0,1,0,0,0,0
4034,Mad Dog McGurk,,['DuckTales'],,,,,0,1,0,0,0,0
